Length,radius,lrratio,TDL,Fratio,intercept,AvgCurv,pade_12,pade_22,pade_31,pade_32,pade_13,pade_23,-22/inter,pade_22/2,pade222-inter,pcterr,pade_22/2_adj,adj22/inter,adj22_pcterr,test,ln(lr(x-12.5))
0.059,0.003,19.66666667,0.002407977,11,15.41600721,13.60438982,-29.52423374,-28.94537022,297.4094547,-28.99290994,-30.76224176,-27.75699513,1.877617844,14.47268511,-0.943322099,6.119107795,14.52004199,0.941880851,5.811914886,12.83438509,0.676340062
0.059,0.003,19.66666667,0.002939651,13,19.28895887,16.6081964,-36.69994565,-35.82905744,289.0377153,-35.91868924,-38.61877764,-34.03000551,1.857490478,17.91452872,-1.374430155,7.1254761,17.97234185,0.931742453,6.82575473,15.479432,0.676340062
0.059,0.003,19.66666667,0.002939467,13,19.28641637,16.60715671,-36.69741869,-35.82664237,289.0406495,-35.91625622,-38.61598427,-34.02782551,1.857610127,17.91332118,-1.373095191,7.119493659,17.9711307,0.931802485,6.819751543,15.47852722,0.676340062
0.059,0.003,19.66666667,0.002939467,13,19.28641637,16.60715671,-36.69741869,-35.82664237,289.0406495,-35.91625622,-38.61598427,-34.02782551,1.857610127,17.91332118,-1.373095191,7.119493659,17.9711307,0.931802485,6.819751543,15.47852722,0.676340062
0.059,0.003,19.66666667,0.003516331,15,23.69794471,19.86627741,-44.76873288,-43.50968836,279.710704,-43.66927228,-47.63477427,-40.89066207,1.836011051,21.75484418,-1.943100528,8.199447472,21.82399869,0.92092369,7.907630976,18.27941705,0.676340062
0.059,0.003,19.66666667,0.003516348,15,23.68687352,19.86637487,-44.76897878,-43.50992152,279.7104209,-43.66950798,-47.635052,-40.89086817,1.836879041,21.75496076,-1.931912765,8.15604796,21.82411561,0.921359064,7.864093639,18.27949977,0.676340062
0.059,0.003,19.66666667,0.003516348,15,23.68687352,19.86637487,-44.76897878,-43.50992152,279.7104209,-43.66950798,-47.635052,-40.89086817,1.836879041,21.75496076,-1.931912765,8.15604796,21.82411561,0.921359064,7.864093639,18.27949977,0.676340062
0.059,0.004,14.75,0.001319362,5,5.846341142,5.590518852,-11.69253834,-11.56466318,235.3861255,-11.57012698,-11.95007106,-11.30533211,1.978102697,5.782331589,-0.064009552,1.094865163,5.801792185,0.992380028,0.761997209,5.411023235,0.38865799
0.059,0.004,14.75,0.001319362,5,5.846341142,5.590518852,-11.69253834,-11.56466318,235.3861255,-11.57012698,-11.95007106,-11.30533211,1.978102697,5.782331589,-0.064009552,1.094865163,5.801792185,0.992380028,0.761997209,5.411023235,0.38865799
0.059,0.004,14.75,0.001319564,5,5.844383831,5.591371748,-11.694402,-11.56648737,235.3838847,-11.57195374,-11.95201704,-11.30707569,1.9790773,5.783243685,-0.061140146,1.046135017,5.802707251,0.992868952,0.713104784,5.411822531,0.38865799
0.059,0.004,14.75,0.001888116,7,8.514495957,8.000493226,-17.05897029,-16.79447433,228.9796268,-16.81108581,-17.60856538,-16.254686,1.972456669,8.397237166,-0.117258791,1.377166561,8.425086883,0.989499194,1.050080647,7.639547806,0.38865799
0.059,0.004,14.75,0.001888633,7,8.508963814,8.002683256,-17.06393923,-16.79929605,228.973735,-16.81592173,-17.61385592,-16.25920413,1.974305734,8.399648025,-0.109315789,1.284713294,8.427505365,0.990426749,0.95732513,7.641546147,0.38865799
0.059,0.004,14.75,0.001888633,7,8.508963814,8.002683256,-17.06393923,-16.79929605,228.973735,-16.81592173,-17.61385592,-16.25920413,1.974305734,8.399648025,-0.109315789,1.284713294,8.427505365,0.990426749,0.95732513,7.641546147,0.38865799
0.059,0.004,14.75,0.002483277,9,11.39703168,10.52236108,-22.89408202,-22.43174206,222.1059597,-22.4710436,-23.88704277,-21.48175595,1.968209151,11.21587103,-0.181160656,1.589542448,11.25249937,0.987318425,1.268157548,9.909620415,0.38865799
0.059,0.004,14.75,0.002483458,9,11.3947702,10.52312608,-22.89588682,-22.43347816,222.1038467,-22.47278874,-23.88900513,-21.48334889,1.968752135,11.21673908,-0.178031123,1.562393269,11.25337008,0.987590788,1.240921215,9.910299769,0.38865799
0.059,0.004,14.75,0.002483458,9,11.3947702,10.52312608,-22.89588682,-22.43347816,222.1038467,-22.47278874,-23.88900513,-21.48334889,1.968752135,11.21673908,-0.178031123,1.562393269,11.25337008,0.987590788,1.240921215,9.910299769,0.38865799
0.059,0.004,14.75,0.003107899,11,14.53016644,13.1690638,-29.26720847,-28.53493825,214.6874167,-28.61529076,-30.89599093,-27.01920131,1.963841115,14.26746913,-0.26269731,1.80794426,14.31331064,0.985075477,1.492452271,12.22769402,0.38865799
0.059,0.004,14.75,0.003108145,11,14.5265937,13.17010529,-29.26976766,-28.53737839,214.6844534,-28.61775131,-30.89883752,-27.02139056,1.964492089,14.2686892,-0.257904499,1.77539556,14.31453433,0.98540199,1.45980102,12.22859371,0.38865799
0.059,0.004,14.75,0.003108145,11,14.5265937,13.17010529,-29.26976766,-28.53737839,214.6844534,-28.61775131,-30.89883752,-27.02139056,1.964492089,14.2686892,-0.257904499,1.77539556,14.31453433,0.98540199,1.45980102,12.22859371,0.38865799
0.059,0.004,14.75,0.00376828,13,17.94880608,15.9672875,-36.29215847,-35.2027626,206.5916393,-35.35267029,-38.80790293,-32.92959758,1.961287143,17.6013813,-0.347424778,1.935642831,17.65696343,0.983740275,1.625972497,14.61083306,0.38865799
0.059,0.004,14.75,0.00376863,13,17.94169914,15.96876917,-36.29595815,-35.2063532,206.5872786,-35.35630628,-38.81223575,-32.93274204,1.96226416,17.6031766,-0.338522543,1.886791992,17.65876388,0.984230298,1.576970247,14.61207724,0.38865799
0.059,0.004,14.75,0.00376863,13,17.94169914,15.96876917,-36.29595815,-35.2063532,206.5872786,-35.35630628,-38.81223575,-32.93274204,1.96226416,17.6031766,-0.338522543,1.886791992,17.65876388,0.984230298,1.576970247,14.61207724,0.38865799
0.059,0.004,14.75,0.004469006,15,21.74554246,18.93646763,-44.08057525,-42.52866525,197.6824812,-42.79145901,-47.81196112,-39.26167008,1.95574175,21.26433263,-0.48120983,2.212912513,21.33025047,0.980902202,1.909779841,17.06798802,0.38865799
0.059,0.004,14.75,0.004469033,15,21.73695378,18.93658232,-44.0808829,-42.52895334,197.6821302,-42.79175238,-47.81232168,-39.26191583,1.956527753,21.26447667,-0.472477107,2.173612328,21.33039491,0.98129642,1.870358046,17.06808156,0.38865799
0.059,0.004,14.75,0.004469033,15,21.73695378,18.93658232,-44.0808829,-42.52895334,197.6821302,-42.79175238,-47.81232168,-39.26191583,1.956527753,21.26447667,-0.472477107,2.173612328,21.33039491,0.98129642,1.870358046,17.06808156,0.38865799
0.059,0.005,11.8,0.00163595,5,5.748272747,5.54559457,-11.72380261,-11.56564924,185.4133452,-11.57415327,-12.0478936,-11.24379463,2.012021655,5.782824622,0.034551875,-0.60108273,5.802128837,1.009369091,-0.936909083,5.327061391,0.165514438
0.059,0.005,11.8,0.00163595,5,5.748272747,5.54559457,-11.72380261,-11.56564924,185.4133452,-11.57415327,-12.0478936,-11.24379463,2.012021655,5.782824622,0.034551875,-0.60108273,5.802128837,1.009369091,-0.936909083,5.327061391,0.165514438
0.059,0.005,11.8,0.001635974,5,5.748035521,5.54567323,-11.72397813,-11.56582022,185.4131359,-11.57432461,-12.04807886,-11.24395626,2.012134437,5.782910108,0.034874586,-0.606721832,5.802214596,1.009425668,-0.942566808,5.327134014,0.165514438
0.059,0.005,11.8,0.002333572,7,8.318409551,7.910413236,-17.12385676,-16.79809919,179.0245721,-16.8239321,-17.81766983,-16.12991013,2.019388332,8.399049595,0.080640044,-0.969416612,8.426585744,1.013004432,-1.300443214,7.475506383,0.165514438
0.059,0.005,11.8,0.002333572,7,8.318409551,7.910413236,-17.12385676,-16.79809919,179.0245721,-16.8239321,-17.81766983,-16.12991013,2.019388332,8.399049595,0.080640044,-0.969416612,8.426585744,1.013004432,-1.300443214,7.475506383,0.165514438
0.059,0.005,11.8,0.002334441,7,8.312166125,7.913357665,-17.13073582,-16.8047307,179.0164949,-16.83059395,-17.8251097,-16.13602719,2.021702941,8.40236535,0.090199225,-1.085147047,8.429911748,1.014165456,-1.416545597,7.478138864,0.165514438
0.059,0.005,11.8,0.003058753,9,11.06534747,10.36865349,-23.00505388,-22.43811716,172.1668088,-22.49919292,-24.26259534,-21.26529597,2.027782428,11.21905858,0.153711109,-1.389121396,11.25515186,1.017153044,-1.7153044,9.638086167,0.165514438
0.059,0.005,11.8,0.003058992,9,11.06334519,10.36946583,-23.00704364,-22.44001565,172.1645032,-22.50110676,-24.26480454,-21.2670023,2.028321024,11.22000782,0.156662635,-1.41605122,11.25610393,1.017423188,-1.742318817,9.638789411,0.165514438
0.059,0.005,11.8,0.003058992,9,11.06334519,10.36946583,-23.00704364,-22.44001565,172.1645032,-22.50110676,-24.26480454,-21.2670023,2.028321024,11.22000782,0.156662635,-1.41605122,11.25610393,1.017423188,-1.742318817,9.638789411,0.165514438
0.059,0.005,11.8,0.003813935,11,14.01544583,12.92859256,-29.43118945,-28.53768837,164.7613293,-28.66242443,-31.49994835,-26.67222739,2.036159871,14.26884418,0.253398358,-1.807993557,14.31384861,1.021290995,-2.129099509,11.81849833,0.165514438
0.059,0.005,11.8,0.003813935,11,14.01544583,12.92859256,-29.43118945,-28.53768837,164.7613293,-28.66242443,-31.49994835,-26.67222739,2.036159871,14.26884418,0.253398358,-1.807993557,14.31384861,1.021290995,-2.129099509,11.81849833,0.165514438
0.059,0.005,11.8,0.003814288,11,14.01563632,12.92979048,-29.43427054,-28.54059815,164.7577953,-28.66537198,-31.50346792,-26.67477132,2.036339807,14.27029907,0.254662758,-1.816990343,14.31530767,1.021381217,-2.138121683,11.8195023,0.165514438
0.059,0.005,11.8,0.004606091,13,17.18813008,15.61386777,-36.51648181,-35.19429524,156.6626645,-35.42676514,-39.72094146,-32.40598344,2.047593024,17.59714762,0.409017541,-2.379651186,17.6514995,1.026958687,-2.695868677,14.03235637,0.165514438
0.059,0.005,11.8,0.004606091,13,17.18813008,15.61386777,-36.51648181,-35.19429524,156.6626645,-35.42676514,-39.72094146,-32.40598344,2.047593024,17.59714762,0.409017541,-2.379651186,17.6514995,1.026958687,-2.695868677,14.03235637,0.165514438
0.059,0.005,11.8,0.004606986,13,17.18503513,15.61690305,-36.52469589,-35.20197344,156.6532996,-35.43459402,-39.73062131,-32.41249926,2.048408582,17.60098672,0.415951595,-2.420429124,17.65534916,1.02736765,-2.736765047,14.03481825,0.165514438
0.059,0.005,11.8,0.005438272,15,20.65630064,18.43482142,-44.35659916,-42.48486008,147.7302031,-42.89166669,-49.12013601,-38.49402933,2.056750665,21.24243004,0.5861294,-2.837533255,21.30660165,1.031481969,-3.148196885,16.28273491,0.165514438
0.059,0.005,11.8,0.005438007,15,20.65042217,18.43392148,-44.35403122,-42.48248415,147.7331302,-42.88922309,-49.11700443,-38.4920771,2.057221097,21.24124208,0.590819906,-2.861054857,21.30541056,1.031717918,-3.171791752,16.28202874,0.165514438
0.059,0.005,11.8,0.005438007,15,20.65042217,18.43392148,-44.35403122,-42.48248415,147.7331302,-42.88922309,-49.11700443,-38.4920771,2.057221097,21.24124208,0.590819906,-2.861054857,21.30541056,1.031717918,-3.171791752,16.28202874,0.165514438
0.108,0.003,36,0.001054256,5,3.595950861,3.253876126,-6.636057235,-6.603980989,324.5773849,-6.604559253,-6.698096029,-6.539445717,1.836504792,3.301990494,-0.293960366,8.174760383,3.339943706,0.928806826,7.119317397,3.207143798,1.280933845
0.108,0.003,36,0.001054616,5,3.593608997,3.254987433,-6.638367938,-6.60626967,324.574549,-6.606848534,-6.700449986,-6.541689959,1.838338471,3.303134835,-0.290474162,8.083076439,3.341101009,0.929734151,7.026584944,3.208223485,1.280933845
0.108,0.003,36,0.001054616,5,3.593608997,3.254987433,-6.638367938,-6.60626967,324.574549,-6.606848534,-6.700449986,-6.541689959,1.838338471,3.303134835,-0.290474162,8.083076439,3.341101009,0.929734151,7.026584944,3.208223485,1.280933845
0.108,0.003,36,0.001547088,7,5.456667514,4.774962087,-9.827503623,-9.75810876,320.6758414,-9.759967157,-9.963693913,-9.618093189,1.788290882,4.87905438,-0.577613134,10.58545591,4.934749538,0.904352249,9.564775104,4.675218534,1.280933845
0.108,0.003,36,0.001547122,7,5.456508732,4.775068875,-9.827729705,-9.758331717,320.6755661,-9.760190241,-9.963926272,-9.618309809,1.788383781,4.879165858,-0.577342874,10.58081095,4.934862262,0.904399224,9.560077623,4.675320923,1.280933845
0.108,0.003,36,0.001547122,7,5.456508732,4.775068875,-9.827729705,-9.758331717,320.6755661,-9.760190241,-9.963926272,-9.618309809,1.788383781,4.879165858,-0.577342874,10.58081095,4.934862262,0.904399224,9.560077623,4.675320923,1.280933845
0.108,0.003,36,0.002086406,9,7.632420982,6.439525399,-13.38646313,-13.25961005,316.3595514,-13.26425373,-13.63944307,-13.00285297,1.737274461,6.629805024,-1.002615958,13.13627695,6.704915648,0.878478227,12.15217735,6.259863337,1.280933845
0.108,0.003,36,0.002086406,9,7.632420982,6.439525399,-13.38646313,-13.25961005,316.3595514,-13.26425373,-13.63944307,-13.00285297,1.737274461,6.629805024,-1.002615958,13.13627695,6.704915648,0.878478227,12.15217735,6.259863337,1.280933845
0.108,0.003,36,0.002086868,9,7.629666933,6.440951265,-13.38954181,-13.26263199,316.3558325,-13.26727883,-13.64263838,-13.00575938,1.738297635,6.631315994,-0.998350939,13.08511823,6.70644325,0.878995546,12.10044542,6.261211111,1.280933845
0.108,0.003,36,0.002687496,11,10.19169488,8.29474221,-17.43618694,-17.22451131,311.4889282,-17.23464584,-17.86597809,-16.79453233,1.690053667,8.612255654,-1.579439226,15.49731664,8.709005527,0.854519845,14.54801552,7.999808249,1.280933845
0.108,0.003,36,0.002688092,11,10.18625927,8.296580445,-17.44024352,-17.22847287,311.4840698,-17.23861435,-17.87023529,-16.79829932,1.691344428,8.614236433,-1.572022841,15.43277859,8.711007747,0.855172396,14.48276042,8.001518847,1.280933845
0.108,0.003,36,0.002688092,11,10.18625927,8.296580445,-17.44024352,-17.22847287,311.4840698,-17.23861435,-17.87023529,-16.79829932,1.691344428,8.614236433,-1.572022841,15.43277859,8.711007747,0.855172396,14.48276042,8.001518847,1.280933845
0.108,0.003,36,0.003372918,13,13.30510704,10.41023997,-22.16288125,-21.82728092,305.8541116,-21.84780563,-22.8584743,-21.14273133,1.640519001,10.91364046,-2.391466583,17.97404993,11.0350655,0.829385699,17.06143015,9.951231372,1.280933845
0.108,0.003,36,0.003372735,13,13.30258122,10.40967581,-22.1616051,-21.82604173,305.8556261,-21.84656298,-22.85711772,-21.1415683,1.64073734,10.91302087,-2.389560355,17.96313298,11.03443933,0.829496106,17.05038938,9.950715504,1.280933845
0.108,0.003,36,0.003372735,13,13.30258122,10.40967581,-22.1616051,-21.82604173,305.8556261,-21.84656298,-22.85711772,-21.1415683,1.64073734,10.91302087,-2.389560355,17.96313298,11.03443933,0.829496106,17.05038938,9.950715504,1.280933845
0.108,0.003,36,0.004190964,15,17.33933109,12.93507327,-27.95899833,-27.43678538,299.0096866,-27.47732873,-29.06850804,-26.36617231,1.582343935,13.71839269,-3.620938401,20.88280327,13.86926739,0.799873266,20.01267343,12.23637686,1.280933845
