Material,Length,radius,Fratio,TDL,slope,intercept,AvgCurv,CurvDiff
SUS304,0.353,0.009,13,0.010407249979143478,-5.573279343283241,4.259494310587282,3.2758105064977903,0.983683804089492
SUS304,0.353,0.009,15,0.013064650554799403,-8.665558154866979,5.641731182668741,4.1122601683347195,1.529471014334021
SUS304,0.353,0.01,5,0.0035070691906184622,-0.5794309287062778,1.095773578921888,0.9935040200052301,0.10226955891665801
SUS304,0.353,0.01,7,0.005138285410029153,-1.1761035185565822,1.663187203044827,1.45560493201959,0.20758227102523685
SUS304,0.353,0.01,9,0.006926632150779578,-2.0367827319666056,2.3217108917897202,1.9622187395976143,0.35949215219210595
SUS304,0.353,0.01,11,0.008919696891736337,-3.196318484770629,3.0909765275014887,2.5268263149394725,0.5641502125620161
SUS304,0.353,0.01,13,0.011171829328049243,-4.910697572415045,4.031562293783166,3.1648241722519104,0.8667381215312555
SUS304,0.353,0.01,15,0.01385336662591706,-7.421338386631194,5.234332691505862,3.9244664662654563,1.3098662252404054
SUS304,0.402,0.009,7,0.004804697653450605,-1.156632418560898,1.5604813619711513,1.3279982458404107,0.23248311613074057
SUS304,0.402,0.009,9,0.006555450035503349,-1.9979371763082547,2.213484221388581,1.8118988489506218,0.4015853724379592
SUS304,0.402,0.009,11,0.00855109884202345,-3.232587361984777,3.0132378546797387,2.3634877949207986,0.6497500597589401
SUS304,0.402,0.009,13,0.010924409669090685,-5.0943243236449645,4.043420125783065,3.019460936730427,1.023959189052638
SUS304,0.402,0.009,15,0.014034263201843122,-8.259762105020387,5.539223571125439,3.879011388016341,1.6602121831090981
SUS304,0.402,0.009,5,0.00324629602494358,-0.5622748120411248,1.0102798201234116,0.8972625829031454,0.11301723722026613
